Zip Code,Latitude,Longitude,City,State,County
98848,47.2342,-119.8512,Quincy,Washington,Grant
98274,48.3129,-122.2317,Lake McMurray,Washington,Skagit
98087 98012 98208,47.8479,-122.2327,Martha Lake,Washington,Snohomish
98603,45.9568,-122.5709,Ariel,Washington,Cowlitz
99148,48.0686,-117.6299,Loon Lake,Washington,Stevens
99176,47.1207,-117.3896,Thornton,Washington,Whitman
99359,46.5184,-118.1251,Starbuck,Washington,Columbia
98027,47.4616,-121.9936,Mirrormont,Washington,King
98626 98632,46.1249,-122.8907,Kelso,Washington,Cowlitz
98026,47.8584,-122.3161,Meadowdale,Washington,Snohomish
98072 98077,47.7465,-122.0755,Cottage Lake,Washington,King
99004,47.49,-117.5789,Cheney,Washington,Spokane
98020,47.7906,-122.3849,Woodway,Washington,Snohomish
98503 98516 98509,47.0444,-122.7933,Lacey,Washington,Thurston
98933,46.407,-120.5422,Harrah,Washington,Yakima
98524,47.3863,-122.8386,Allyn,Washington,Mason
98586 98577,46.6683,-123.8016,South Bend,Washington,Pacific
99141,48.7783,-118.1329,Barstow,Washington,Ferry
99119,48.6916,-117.4077,Tiger,Washington,Pend Oreille
98857,46.9682,-119.0512,Warden,Washington,Grant
98520,46.9712,-123.7651,Junction City,Washington,Grays Harbor
98382,48.0131,-122.9897,Blyn,Washington,Clallam
98349,47.257,-122.7585,Lakebay,Washington,Pierce
98588,47.3712,-123.0557,Tahuya,Washington,Mason
98942,46.648,-120.5388,Selah,Washington,Yakima
98312,47.5829,-122.7085,Kitsap Lake,Washington,Kitsap
98294,47.8703,-121.8036,Sultan,Washington,Snohomish
98826,47.7626,-120.6573,Plain,Washington,Chelan
98045,47.4813,-121.6925,Tanner,Washington,King
98026 98020,47.8114,-122.3534,Edmonds,Washington,Snohomish
98198,47.4193,-122.3235,North Hill,Washington,King
98953,46.4085,-120.273,Zillah,Washington,Yakima
98812,48.1413,-119.6778,Monse,Washington,Okanogan
98155,47.7592,-122.2877,Lake Forest Park,Washington,King
98832,47.4074,-118.985,Marlin,Washington,Grant
98624 98614,46.2755,-123.9425,Chinook,Washington,Pacific
99163 99102,46.792,-117.2506,Albion,Washington,Whitman
98288,47.7103,-121.3585,Skykomish,Washington,King
98901 98903 98902 98908 98904 98907,46.5926,-120.5492,Yakima,Washington,Yakima
98001 98047,47.261,-122.2507,Pacific,Washington,King
98673,45.6599,-120.9698,Wishram,Washington,Klickitat
98837,47.1406,-119.3289,Cascade Valley,Washington,Grant
98296,47.8525,-122.1058,Cathcart,Washington,Snohomish
98606 98662,45.7251,-122.5483,Brush Prairie,Washington,Clark
98601 98675,45.9122,-122.4795,Amboy,Washington,Clark
98613,45.754,-120.908,Centerville,Washington,Klickitat
98252,48.1003,-121.7679,Verlot,Washington,Snohomish
98858,47.561,-119.9951,Alstown,Washington,Douglas
98849,48.521,-119.3309,Synarep,Washington,Okanogan
98366,47.5476,-122.6207,Annapolis,Washington,Kitsap
98370,47.8543,-122.5838,Port Gamble,Washington,Kitsap
98328,46.8682,-122.2697,Eatonville,Washington,Pierce
98221,48.4479,-122.5779,Similk Beach,Washington,Skagit
98616,46.0515,-122.2995,Cougar,Washington,Cowlitz
98346,47.8626,-122.5146,Eglon,Washington,Kitsap
99350,45.9371,-119.6028,Paterson,Washington,Benton
98589,46.8538,-122.8603,Tenino,Washington,Thurston
98661,45.6576,-122.6204,Minnehaha,Washington,Clark
98577,46.6841,-123.7375,Raymond,Washington,Pacific
98229 98233 98232 98284,48.6176,-122.3369,Alger,Washington,Skagit
98580,46.9971,-122.5424,Roy,Washington,Pierce
98065,47.5292,-121.8409,Snoqualmie,Washington,King
98359,47.464,-122.5312,Fragaria,Washington,Kitsap
99021 99005,47.819,-117.277,Green Bluff,Washington,Spokane
98198,47.3615,-122.3121,Woodmont Beach,Washington,King
98577,46.5423,-123.5049,Frances,Washington,Pacific
98264,48.9502,-122.4542,Lynden,Washington,Whatcom
99110,48.0012,-117.5611,Clayton,Washington,Stevens
98247,48.9124,-122.3509,Everson,Washington,Whatcom
98952,46.3769,-120.7381,White Swan,Washington,Yakima
98282,48.1866,-122.4707,Camano,Washington,Island
98038,47.4357,-122.0621,Cedar Grove,Washington,King
98826,47.7354,-120.7412,Winton,Washington,Chelan
98501,46.9676,-122.8357,East Olympia,Washington,Thurston
98466,47.2182,-122.5726,Sunset Beach,Washington,Pierce
98528,47.4512,-122.8473,Belfair,Washington,Mason
98223,48.2837,-121.9238,Oso,Washington,Snohomish
98023 98001 98003 98063 98093,47.3091,-122.3358,Federal Way,Washington,King
98370,47.7165,-122.6579,Scandia,Washington,Kitsap
98376,47.8369,-122.9058,Quilcene,Washington,Jefferson
99138,48.2204,-118.2089,Covada,Washington,Ferry
99135,47.6894,-119.1081,Hartline,Washington,Grant
98033,47.7032,-122.2071,Juanita,Washington,King
98844,48.981,-119.2006,Molson,Washington,Okanogan
99167,48.3613,-118.16,Daisy,Washington,Stevens
98295,48.9955,-122.2695,Sumas,Washington,Whatcom
98012 98082,47.8631,-122.2037,Mill Creek,Washington,Snohomish
98498 98499 98496 98497,47.1627,-122.5299,Lakewood,Washington,Pierce
98604,45.786,-122.4721,Venersborg,Washington,Clark
98362 98363,48.1141,-123.4565,Port Angeles,Washington,Clallam
98204,47.902,-122.2543,Fairmont,Washington,Snohomish
98951,46.4435,-120.4213,Wapato,Washington,Yakima
98366,47.5192,-122.6183,East Port Orchard,Washington,Kitsap
98841,48.444,-119.4459,North Omak,Washington,Okanogan
99025,47.7074,-117.0524,East Farms,Washington,Spokane
98908,46.667,-120.6337,Eschbach,Washington,Yakima
99003,47.8896,-117.3577,Chattaroy,Washington,Spokane
99138,48.3379,-118.2372,Inchelium,Washington,Ferry
98236,47.9373,-122.4443,Maxwelton,Washington,Island
98106 98146 98168,47.5086,-122.348,White Center,Washington,King
99022,47.5713,-117.6896,Medical Lake,Washington,Spokane
98263 98284,48.523,-122.0634,Lyman,Washington,Skagit
98223,48.1698,-122.144,Arlington,Washington,Snohomish
98407,47.2982,-122.5104,Ruston,Washington,Pierce
98557,47.0584,-123.2725,McCleary,Washington,Grays Harbor
98075 98074,47.6045,-122.0446,Sammamish,Washington,King
98042,47.3665,-122.105,Covington,Washington,King
98360 98374,47.1286,-122.2374,McMillin,Washington,Pierce
98328,46.8199,-122.2962,La Grande,Washington,Pierce
98335,47.2743,-122.6224,Cromwell,Washington,Pierce
98042,47.3398,-122.1279,Berrydale,Washington,King
98801,47.4251,-120.329,Wenatchee,Washington,Chelan
98221,48.6179,-122.6921,Urban,Washington,Skagit
98332,47.3715,-122.5689,Maplewood,Washington,Pierce
98532,46.5471,-122.8226,Marys Corner,Washington,Lewis
99349,46.7365,-119.9023,Mattawa,Washington,Grant
98070,47.452,-122.5079,Cove,Washington,King
98312 98383,47.6234,-122.7198,Chico,Washington,Kitsap
98244,48.9135,-122.1049,Maple Falls,Washington,Whatcom
98070,47.4762,-122.4907,Colvos,Washington,King
98014 98053,47.6346,-121.9664,Ames Lake,Washington,King
98855,48.7899,-119.4012,Ellisforde,Washington,Okanogan
98075,47.5787,-122.0462,Pine Lake,Washington,King
98903,46.5325,-120.8727,Tampico,Washington,Yakima
99113,46.5677,-117.1284,Colton,Washington,Whitman
99180,48.3138,-117.2797,Usk,Washington,Pend Oreille
98943 98922,47.1937,-120.9575,Cle Elum,Washington,Kittitas
98841,48.4214,-119.5178,Omak,Washington,Okanogan
99134,47.4799,-118.2555,Harrington,Washington,Lincoln
98284,48.5095,-122.2344,Sedro-Woolley,Washington,Skagit
98604,45.8021,-122.5764,Cherry Grove,Washington,Clark
98350,47.9087,-124.6366,La Push,Washington,Clallam
98292,48.282,-122.348,Lake Ketchum,Washington,Snohomish
98335,47.2901,-122.6676,Arletta,Washington,Pierce
99206,47.6574,-117.2399,Opportunity,Washington,Spokane
98336,46.5146,-122.1601,Glenoma,Washington,Lewis
99118,48.8777,-118.6045,Curlew,Washington,Ferry
98404 98445,47.1734,-122.412,Midland,Washington,Pierce
98532,46.629,-123.0612,Adna,Washington,Lewis
98941 98068 98925,47.2511,-121.0992,Roslyn,Washington,Kittitas
99006,47.9642,-117.4398,Deer Park,Washington,Spokane
98310 98311,47.6095,-122.6533,Tracyton,Washington,Kitsap
98004,47.6418,-122.2289,Hunts Point,Washington,King
99116,48.0157,-118.9472,Koontzville,Washington,Okanogan
99129,48.071,-118.1989,Fruitland,Washington,Stevens
99109,48.2929,-117.7337,Chewelah,Washington,Stevens
99134,47.4049,-118.3291,Mohler,Washington,Lincoln
98027 98059 98038,47.4718,-122.0854,East Renton Highlands,Washington,King
98944,46.3159,-120.0058,Sunnyside,Washington,Yakima
99013,47.836,-117.8488,Long Lake,Washington,Lincoln
98329,47.3862,-122.6692,Wauna,Washington,Pierce
98922,47.2537,-120.6654,Liberty,Washington,Kittitas
98166,47.4344,-122.3436,Normandy Park,Washington,King
98366,47.5266,-122.5986,Parkwood,Washington,Kitsap
98382,48.1229,-123.0911,Jamestown,Washington,Clallam
98331,47.9526,-124.3906,Forks,Washington,Clallam
99363,46.0847,-118.9056,Wallula,Washington,Walla Walla
98158 98148 98198 98168 98188 98131,47.4444,-122.2985,SeaTac,Washington,King
99357,46.9,-119.6143,Royal City,Washington,Grant
98004,47.5853,-122.2009,Beaux Arts Village,Washington,King
98388,47.1702,-122.5938,Steilacoom,Washington,Pierce
99157,48.9158,-117.7799,Northport,Washington,Stevens
98555,47.5454,-123.046,Eldon,Washington,Mason
98642,45.8112,-122.7053,Ridgefield,Washington,Clark
98581,46.375,-123.0441,Ryderwood,Washington,Cowlitz
98366,47.5519,-122.5517,Manchester,Washington,Kitsap
98070,47.5057,-122.4654,Vashon Heights,Washington,King
98686 98685,45.7099,-122.6632,Salmon Creek,Washington,Clark
98950,46.9453,-119.9922,Vantage,Washington,Kittitas
99117,47.7596,-118.5199,Creston,Washington,Lincoln
98851,47.3884,-119.4905,Soap Lake,Washington,Grant
98296 98012 98208,47.8635,-122.1497,Silver Firs,Washington,Snohomish
99170,47.3202,-117.3838,Plaza,Washington,Spokane
98258 98290,47.9917,-122.0515,Machias,Washington,Snohomish
98357,48.3612,-124.6115,Neah Bay,Washington,Clallam
99150,48.7996,-118.612,Malo,Washington,Ferry
98004,47.6303,-122.218,Clyde Hill,Washington,King
98345,47.6993,-122.6232,Keyport,Washington,Kitsap
98597,46.9647,-122.6029,North Yelm,Washington,Thurston
99133,47.9388,-119.003,Grand Coulee,Washington,Grant
98938,46.3312,-120.0913,Outlook,Washington,Yakima
98236,47.9731,-122.3577,Clinton,Washington,Island
99126,48.7135,-118.0253,Evans,Washington,Stevens
98422,47.3036,-122.4369,Browns Point,Washington,Pierce
